t,v,s,f,q,station_name,station_id,latitude,longitude
2024-10-29 10:54,-0.569,0.069,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:00,-0.565,0.073,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:06,-0.564,0.068,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:12,-0.554,0.060,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:18,-0.542,0.063,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:24,-0.538,0.065,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:30,-0.536,0.060,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:36,-0.522,0.065,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:42,-0.519,0.068,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:48,-0.504,0.065,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 11:54,-0.492,0.061,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:00,-0.465,0.070,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:06,-0.449,0.069,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:12,-0.437,0.063,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:18,-0.420,0.065,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:24,-0.395,0.066,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:30,-0.366,0.073,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:36,-0.348,0.068,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:42,-0.325,0.062,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:48,-0.301,0.074,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 12:54,-0.279,0.050,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:00,-0.265,0.060,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:06,-0.236,0.056,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:12,-0.204,0.056,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:18,-0.174,0.055,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:24,-0.150,0.058,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:30,-0.116,0.056,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:36,-0.078,0.055,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:42,-0.059,0.058,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:48,-0.032,0.060,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 13:54,-0.002,0.061,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:00,0.021,0.062,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:06,0.044,0.068,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:12,0.074,0.069,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:18,0.110,0.061,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:24,0.141,0.061,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:30,0.171,0.055,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:36,0.196,0.061,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:42,0.220,0.056,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:48,0.248,0.072,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 14:54,0.276,0.055,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:00,0.307,0.063,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:06,0.334,0.063,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:12,0.364,0.061,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:18,0.386,0.057,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:24,0.410,0.064,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:30,0.433,0.067,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:36,0.465,0.058,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:42,0.489,0.067,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:48,0.519,0.067,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 15:54,0.538,0.054,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:00,0.565,0.057,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:06,0.589,0.060,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:12,0.602,0.063,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:18,0.623,0.058,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:24,0.642,0.065,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:30,0.657,0.065,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:36,0.671,0.057,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:42,0.694,0.053,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:48,0.714,0.056,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 16:54,0.722,0.056,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:00,0.731,0.057,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:06,0.739,0.056,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:12,0.739,0.056,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:18,0.734,0.071,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:24,0.740,0.054,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:30,0.749,0.056,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:36,0.744,0.050,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:42,0.748,0.050,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:48,0.738,0.044,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 17:54,0.715,0.049,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 18:00,0.696,0.049,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 18:06,0.691,0.045,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 18:12,0.685,0.038,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 18:18,0.689,0.044,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 18:24,0.680,0.043,"0,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
2024-10-29 18:30,0.670,0.047,"1,0,0,0",p,San Francisco,9414290,37.806306,-122.465889
